2018-04-20 20:24:27,b'RT @LFC: #LFCU18s dig deep to beat @ManUtd at Kirkby. \xf0\x9f\x91\x8a\n\n\xf0\x9f\x93\xb0 How it all unfolded: https://t.co/av151czeh8 https://t.co/i08s3bon29',London
2018-04-20 20:24:23,"b'RT @LFC: Superb work from #LFCU18s in the second half, despite being down to 10 men. \xf0\x9f\x91\x8f https://t.co/mk87saSO8O'",London
2018-04-20 20:24:22,"b'RT @LFC: Superb work from #LFCU18s in the second half, despite being down to 10 men. \xf0\x9f\x91\x8f https://t.co/mk87saSO8O'",London
2018-04-20 20:24:18,b'RT @LFC: CAMACHO! \xf0\x9f\x94\xa5\n\nA stunning solo run and shot from Raafa Camacho to put #LFCU18s back infront! \n\n[2-1] Watch live: https://t.co/Rv8xo2D\xe2\x80\xa6',London
2018-04-20 20:24:14,"b'RT @LFC: #LFCU18s are reduced to 10 men, as Rhys Williams recieves a red card for a dangerous tackle.\n\nhttps://t.co/Rv8xo2DzuZ'",London
2018-04-20 20:24:10,b'RT @LFC: An entertaining game so far. Join us for the remainder of the match. \xf0\x9f\x91\x87 #LFCU18s \n\n\xf0\x9f\x92\xbb\xf0\x9f\x93\xb1 https://t.co/PDOuoU8nko https://t.co/Yi0oJlkC\xe2\x80\xa6',London
2018-04-20 20:24:10,"b'RT @LFC: Superb work from #LFCU18s in the second half, despite being down to 10 men. \xf0\x9f\x91\x8f https://t.co/mk87saSO8O'",London
2018-04-20 20:24:07,"b""RT @LFC: It's level at the break here at Kirkby. \n\n[1-1] #LFCU18s Watch live \xf0\x9f\x91\x89 https://t.co/Rv8xo2DzuZ https://t.co/Td7tYzPx4T""",London
2018-04-20 20:24:04,b'RT @LFC: United equalise through Ethan Laird.\n\n[1-1] #LFCU18s Watch live: https://t.co/Rv8xo2DzuZ',London
2018-04-20 20:24:00,b' #LFCU18s RT @LFC: GOAL! Millar gives us the early lead!\n\nA great delivery from Lewis puts the ball on the plate for Liam Millar to score.\n\n[1-0] #LF\xe2\x80\xa6',London
2018-04-20 20:23:56,b'RT @LFC: \xf0\x9f\x93\x8bOur #LFCU18s side to take on @ManUtd...\n\n\xf0\x9f\x93\xba Live coverage will get underway on @LFCTV and LFCTV GO in 2\xe2\x83\xa35\xe2\x83\xa3 minutes: https://t.co/x\xe2\x80\xa6',London
2018-04-20 20:23:49,b'RT @LFC: #LFCU18s dig deep to beat @ManUtd at Kirkby. \xf0\x9f\x91\x8a\n\n\xf0\x9f\x93\xb0 How it all unfolded: https://t.co/av151czeh8 https://t.co/i08s3bon29',London
2018-04-20 20:23:46,b'RT @LFC: #LFCU18s dig deep to beat @ManUtd at Kirkby. \xf0\x9f\x91\x8a\n\n\xf0\x9f\x93\xb0 How it all unfolded: https://t.co/av151czeh8 https://t.co/i08s3bon29',London
2018-04-20 20:23:42,b'RT @LFC: #LFCU18s dig deep to beat @ManUtd at Kirkby. \xf0\x9f\x91\x8a\n\n\xf0\x9f\x93\xb0 How it all unfolded: https://t.co/av151czeh8 https://t.co/i08s3bon29',London
2018-04-20 20:23:01,b' #LFCU18s RT @LFC: GOAL! Millar gives us the early lead!\n\nA great delivery from Lewis puts the ball on the plate for Liam Millar to score.\n\n[1-0] #LF\xe2\x80\xa6',London
